"filename", "language", "JavaScript", "comment", "blank", "total"
"d:\Projects\myselpost\Client\src\Components\AlertBox.js", "JavaScript", 20, 0, 6, 26
"d:\Projects\myselpost\Client\src\Components\Footer.js", "JavaScript", 33, 0, 7, 40
"d:\Projects\myselpost\Client\src\Components\Header.js", "JavaScript", 161, 0, 23, 184
"d:\Projects\myselpost\Client\src\Pages\About.js", "JavaScript", -53, 0, -8, -61
"d:\Projects\myselpost\Client\src\Pages\AppSketch.js", "JavaScript", -412, -10, -65, -487
"d:\Projects\myselpost\Client\src\Pages\Contact.js", "JavaScript", -90, 0, -15, -105
"d:\Projects\myselpost\Client\src\Pages\Home.js", "JavaScript", -59, 0, -8, -67
"d:\Projects\myselpost\Client\src\Pages\Login.js", "JavaScript", -96, -1, -17, -114
"d:\Projects\myselpost\Client\src\Pages\Pricing.js", "JavaScript", -46, 0, -10, -56
"d:\Projects\myselpost\Client\src\Pages\Privacy.js", "JavaScript", -62, 0, -10, -72
"d:\Projects\myselpost\Client\src\Pages\Prompt.js", "JavaScript", -248, -1, -51, -300
"d:\Projects\myselpost\Client\src\Pages\Register.js", "JavaScript", -107, 0, -16, -123
"d:\Projects\myselpost\Client\src\Pages\Sketch.js", "JavaScript", -82, 0, -13, -95
"d:\Projects\myselpost\Client\src\Pages\Terms.js", "JavaScript", -51, 0, -9, -60
"d:\Projects\myselpost\Client\src\Pages\WebSketch.js", "JavaScript", -412, -10, -64, -486
"Total", "-", -1504, -22, -250, -1776
