"filename", "language", "CSS", "JavaScript", "comment", "blank", "total"
"d:\Projects\myselpost\Client\src\Styles\About.css", "CSS", 56, 0, 0, 10, 66
"d:\Projects\myselpost\Client\src\Styles\AlertBox.css", "CSS", 52, 0, 2, 8, 62
"d:\Projects\myselpost\Client\src\Styles\AppSketch.css", "CSS", 247, 0, 1, 38, 286
"d:\Projects\myselpost\Client\src\Styles\Contact.css", "CSS", 102, 0, 2, 21, 125
"d:\Projects\myselpost\Client\src\Styles\Footer.css", "CSS", 75, 0, 1, 15, 91
"d:\Projects\myselpost\Client\src\Styles\Header.css", "CSS", 111, 0, 4, 23, 138
"d:\Projects\myselpost\Client\src\Styles\Home.css", "CSS", 146, 0, 5, 23, 174
"d:\Projects\myselpost\Client\src\Styles\Login.css", "CSS", 86, 0, 1, 17, 104
"d:\Projects\myselpost\Client\src\Styles\Pricing.css", "CSS", 93, 0, 0, 20, 113
"d:\Projects\myselpost\Client\src\Styles\Privacy.css", "CSS", 48, 0, 0, 10, 58
"d:\Projects\myselpost\Client\src\Styles\Prompt.css", "CSS", 187, 0, 0, 28, 215
"d:\Projects\myselpost\Client\src\Styles\Register.css", "CSS", 111, 0, 1, 21, 133
"d:\Projects\myselpost\Client\src\Styles\Sketch.css", "CSS", 185, 0, 1, 25, 211
"d:\Projects\myselpost\Client\src\Styles\Terms.css", "CSS", 43, 0, 0, 9, 52
"d:\Projects\myselpost\Client\src\Utils\ProtectedRoute.js", "JavaScript", 0, -10, -2, -5, -17
"d:\Projects\myselpost\Client\src\Utils\supabaseClient.js", "JavaScript", 0, -4, -1, -3, -8
"Total", "-", 1542, -14, 15, 260, 1803
